row,disease,study_name,split,study_id
53,RA,ChengpingW_2017,train,-1
54,RA,ChengpingW_2017,train,-1
55,RA,ChengpingW_2017,test,-1
56,RA,ChengpingW_2017,test,-1
57,RA,ChengpingW_2017,test,-1
58,RA,ChengpingW_2017,train,-1
59,RA,ChengpingW_2017,train,-1
60,RA,ChengpingW_2017,val,-1
61,RA,ChengpingW_2017,train,-1
62,RA,ChengpingW_2017,train,-1
63,RA,ChengpingW_2017,train,-1
64,RA,ChengpingW_2017,train,-1
65,RA,ChengpingW_2017,train,-1
66,RA,ChengpingW_2017,train,-1
67,RA,ChengpingW_2017,val,-1
68,RA,ChengpingW_2017,train,-1
69,RA,ChengpingW_2017,train,-1
70,RA,ChengpingW_2017,train,-1
71,RA,ChengpingW_2017,train,-1
72,RA,ChengpingW_2017,val,-1
73,RA,ChengpingW_2017,train,-1
74,RA,ChengpingW_2017,test,-1
75,RA,ChengpingW_2017,test,-1
76,RA,ChengpingW_2017,train,-1
77,RA,ChengpingW_2017,train,-1
78,RA,ChengpingW_2017,train,-1
79,RA,ChengpingW_2017,train,-1
80,RA,ChengpingW_2017,train,-1
81,RA,ChengpingW_2017,train,-1
82,RA,ChengpingW_2017,train,-1
83,RA,ChengpingW_2017,train,-1
84,RA,ChengpingW_2017,train,-1
85,RA,ChengpingW_2017,train,-1
86,RA,ChengpingW_2017,train,-1
87,RA,ChengpingW_2017,test,-1
88,RA,ChengpingW_2017,test,-1
89,RA,ChengpingW_2017,test,-1
90,RA,ChengpingW_2017,val,-1
91,RA,ChengpingW_2017,train,-1
92,RA,ChengpingW_2017,train,-1
93,RA,ChengpingW_2017,train,-1
94,RA,ChengpingW_2017,train,-1
95,RA,ChengpingW_2017,train,-1
96,RA,ChengpingW_2017,val,-1
97,RA,ChengpingW_2017,train,-1
98,RA,ChengpingW_2017,train,-1
99,RA,ChengpingW_2017,train,-1
100,RA,ChengpingW_2017,test,-1
101,RA,ChengpingW_2017,train,-1
102,melanoma,LeeKA_2022,train,-1
103,melanoma,LeeKA_2022,val,-1
104,melanoma,LeeKA_2022,train,-1
105,melanoma,LeeKA_2022,test,-1
106,melanoma,LeeKA_2022,train,-1
107,melanoma,LeeKA_2022,train,-1
108,melanoma,LeeKA_2022,train,-1
109,melanoma,LeeKA_2022,train,-1
110,melanoma,LeeKA_2022,val,-1
111,CRC,ThomasAM_2019_c,train,20
112,CRC,ThomasAM_2019_c,train,20
113,CRC,ThomasAM_2019_c,val,-1
114,CRC,ThomasAM_2019_c,train,20
115,CRC,ThomasAM_2019_c,train,20
116,CRC,ThomasAM_2019_c,train,20
117,CRC,ThomasAM_2019_c,train,20
118,CRC,ThomasAM_2019_c,train,20
119,IBD,HMP_2019_ibdmdb,test,-1
120,IBD,HMP_2019_ibdmdb,test,-1
121,IBD,HMP_2019_ibdmdb,test,-1
122,IBD,HMP_2019_ibdmdb,test,-1
123,IBD,HMP_2019_ibdmdb,test,-1
124,IBD,HMP_2019_ibdmdb,test,-1
125,IBD,HMP_2019_ibdmdb,test,-1
126,IBD,HMP_2019_ibdmdb,test,-1
127,IBD,HMP_2019_ibdmdb,test,-1
128,IBD,HMP_2019_ibdmdb,test,-1
129,IBD,HMP_2019_ibdmdb,test,-1
130,IBD,HMP_2019_ibdmdb,test,-1
131,IBD,HMP_2019_ibdmdb,test,-1
132,IBD,HMP_2019_ibdmdb,test,-1
133,IBD,HMP_2019_ibdmdb,test,-1
134,IBD,HMP_2019_ibdmdb,test,-1
135,IBD,HMP_2019_ibdmdb,test,-1
136,IBD,HMP_2019_ibdmdb,test,-1
137,IBD,HMP_2019_ibdmdb,test,-1
138,IBD,HMP_2019_ibdmdb,test,-1
139,IBD,HMP_2019_ibdmdb,test,-1
140,IBD,HMP_2019_ibdmdb,test,-1
141,IBD,HMP_2019_ibdmdb,test,-1
142,IBD,HMP_2019_ibdmdb,test,-1
143,IBD,HMP_2019_ibdmdb,test,-1
144,IBD,HMP_2019_ibdmdb,test,-1
145,IBD,HMP_2019_ibdmdb,test,-1
146,IBD,HMP_2019_ibdmdb,test,-1
147,IBD,HMP_2019_ibdmdb,test,-1
148,IBD,HMP_2019_ibdmdb,test,-1
149,IBD,HMP_2019_ibdmdb,test,-1
150,IBD,HMP_2019_ibdmdb,test,-1
151,T2D,SankaranarayananK_2015,val,-1
152,T2D,SankaranarayananK_2015,train,17
153,T2D,SankaranarayananK_2015,train,17
154,T2D,SankaranarayananK_2015,train,17
155,T2D,SankaranarayananK_2015,train,17
156,T2D,SankaranarayananK_2015,train,17
157,T2D,SankaranarayananK_2015,train,17
158,T2D,SankaranarayananK_2015,train,17
159,T2D,SankaranarayananK_2015,train,17
160,T2D,SankaranarayananK_2015,train,17
161,T2D,SankaranarayananK_2015,val,-1
162,T2D,SankaranarayananK_2015,val,-1
163,T2D,SankaranarayananK_2015,train,17
164,T2D,SankaranarayananK_2015,train,17
165,T2D,SankaranarayananK_2015,train,17
166,T2D,SankaranarayananK_2015,train,17
167,T2D,SankaranarayananK_2015,train,17
168,T2D,SankaranarayananK_2015,val,-1
169,T2D,SankaranarayananK_2015,train,17
170,MDRB,IaniroG_2022,train,-1
171,CRC,WirbelJ_2018,test,-1
172,CRC,WirbelJ_2018,test,-1
173,CRC,WirbelJ_2018,test,-1
174,CRC,WirbelJ_2018,test,-1
175,CRC,WirbelJ_2018,test,-1
176,CRC,WirbelJ_2018,test,-1
177,CRC,WirbelJ_2018,test,-1
178,CRC,WirbelJ_2018,test,-1
179,CRC,WirbelJ_2018,test,-1
180,CRC,WirbelJ_2018,test,-1
181,CRC,WirbelJ_2018,test,-1
182,CRC,WirbelJ_2018,test,-1
183,CRC,WirbelJ_2018,test,-1
184,CRC,WirbelJ_2018,test,-1
185,CRC,WirbelJ_2018,test,-1
186,CRC,WirbelJ_2018,test,-1
187,CRC,WirbelJ_2018,test,-1
188,CRC,WirbelJ_2018,test,-1
189,CRC,WirbelJ_2018,test,-1
190,CRC,WirbelJ_2018,test,-1
191,CRC,WirbelJ_2018,test,-1
192,CRC,WirbelJ_2018,test,-1
193,CRC,WirbelJ_2018,test,-1
194,CRC,WirbelJ_2018,test,-1
195,CRC,WirbelJ_2018,test,-1
196,CRC,WirbelJ_2018,test,-1
197,CRC,WirbelJ_2018,test,-1
198,CRC,WirbelJ_2018,test,-1
199,CRC,WirbelJ_2018,test,-1
200,CRC,WirbelJ_2018,test,-1
201,CRC,WirbelJ_2018,test,-1
202,CRC,WirbelJ_2018,test,-1
203,CRC,WirbelJ_2018,test,-1
204,CRC,WirbelJ_2018,test,-1
205,CRC,WirbelJ_2018,test,-1
206,CRC,WirbelJ_2018,test,-1
207,CRC,WirbelJ_2018,test,-1
208,CRC,WirbelJ_2018,test,-1
209,CRC,WirbelJ_2018,test,-1
210,CRC,WirbelJ_2018,test,-1
211,CRC,WirbelJ_2018,test,-1
212,CRC,WirbelJ_2018,test,-1
213,CRC,WirbelJ_2018,test,-1
214,CRC,WirbelJ_2018,test,-1
215,CRC,WirbelJ_2018,test,-1
216,CRC,WirbelJ_2018,test,-1
217,CRC,WirbelJ_2018,test,-1
218,CRC,WirbelJ_2018,test,-1
219,CRC,WirbelJ_2018,test,-1
220,CRC,WirbelJ_2018,test,-1
221,CRC,WirbelJ_2018,test,-1
222,CRC,WirbelJ_2018,test,-1
223,CRC,WirbelJ_2018,test,-1
224,CRC,WirbelJ_2018,test,-1
225,CRC,WirbelJ_2018,test,-1
226,CRC,WirbelJ_2018,test,-1
227,CRC,WirbelJ_2018,test,-1
228,CRC,WirbelJ_2018,test,-1
229,CRC,WirbelJ_2018,test,-1
230,CRC,WirbelJ_2018,test,-1
231,STH,RubelMA_2020,train,16
232,STH,RubelMA_2020,val,-1
233,STH,RubelMA_2020,train,16
234,STH,RubelMA_2020,train,16
235,STH,RubelMA_2020,train,16
236,STH,RubelMA_2020,train,16
237,STH,RubelMA_2020,val,-1
238,STH,RubelMA_2020,train,16
239,STH,RubelMA_2020,train,16
240,STH,RubelMA_2020,train,16
241,STH,RubelMA_2020,train,16
242,STH,RubelMA_2020,train,16
243,STH,RubelMA_2020,train,16
244,STH,RubelMA_2020,train,16
245,STH,RubelMA_2020,val,-1
246,STH,RubelMA_2020,train,16
247,STH,RubelMA_2020,train,16
248,STH,RubelMA_2020,train,16
249,STH,RubelMA_2020,train,16
250,STH,RubelMA_2020,train,16
251,STH,RubelMA_2020,train,16
252,STH,RubelMA_2020,train,16
253,STH,RubelMA_2020,train,16
254,STH,RubelMA_2020,train,16
255,STH,RubelMA_2020,train,16
256,STH,RubelMA_2020,train,16
257,STH,RubelMA_2020,train,16
258,STH,RubelMA_2020,train,16
259,STH,RubelMA_2020,val,-1
260,STH,RubelMA_2020,train,16
261,STH,RubelMA_2020,train,16
262,STH,RubelMA_2020,val,-1
263,STH,RubelMA_2020,train,16
264,STH,RubelMA_2020,train,16
265,STH,RubelMA_2020,val,-1
266,STH,RubelMA_2020,train,16
267,STH,RubelMA_2020,train,16
268,STH,RubelMA_2020,train,16
269,STH,RubelMA_2020,val,-1
270,STH,RubelMA_2020,train,16
271,STH,RubelMA_2020,train,16
272,STH,RubelMA_2020,train,16
273,STH,RubelMA_2020,train,16
274,STH,RubelMA_2020,train,16
275,STH,RubelMA_2020,train,16
276,STH,RubelMA_2020,train,16
277,STH,RubelMA_2020,train,16
278,STH,RubelMA_2020,train,16
279,STH,RubelMA_2020,train,16
280,STH,RubelMA_2020,train,16
281,STH,RubelMA_2020,val,-1
282,STH,RubelMA_2020,train,16
283,STH,RubelMA_2020,train,16
284,STH,RubelMA_2020,train,16
285,STH,RubelMA_2020,train,16
286,STH,RubelMA_2020,val,-1
287,STH,RubelMA_2020,val,-1
288,STH,RubelMA_2020,train,16
289,STH,RubelMA_2020,train,16
290,STH,RubelMA_2020,train,16
291,STH,RubelMA_2020,train,16
292,STH,RubelMA_2020,train,16
293,STH,RubelMA_2020,train,16
294,STH,RubelMA_2020,train,16
295,STH,RubelMA_2020,val,-1
296,STH,RubelMA_2020,train,16
297,STH,RubelMA_2020,train,16
298,STH,RubelMA_2020,train,16
299,STH,RubelMA_2020,train,16
300,STH,RubelMA_2020,train,16
301,STH,RubelMA_2020,train,16
302,STH,RubelMA_2020,train,16
303,STH,RubelMA_2020,val,-1
304,STH,RubelMA_2020,train,16
305,STH,RubelMA_2020,train,16
306,STH,RubelMA_2020,train,16
307,STH,RubelMA_2020,val,-1
308,STH,RubelMA_2020,train,16
309,STH,RubelMA_2020,train,16
310,STH,RubelMA_2020,train,16
311,STH,RubelMA_2020,train,16
312,STH,RubelMA_2020,train,16
313,STH,RubelMA_2020,train,16
314,STH,RubelMA_2020,train,16
315,STH,RubelMA_2020,train,16
316,STH,RubelMA_2020,train,16
317,STH,RubelMA_2020,train,16
318,STH,RubelMA_2020,train,16
319,STH,RubelMA_2020,train,16
320,MDRB,IaniroG_2022,train,-1
321,T2D,QinJ_2012,test,-1
322,T2D,QinJ_2012,test,-1
323,T2D,QinJ_2012,test,-1
324,T2D,QinJ_2012,test,-1
325,T2D,QinJ_2012,test,-1
326,T2D,LiJ_2014,train,12
327,T2D,QinJ_2012,test,-1
328,T2D,QinJ_2012,test,-1
329,T2D,QinJ_2012,test,-1
330,T2D,QinJ_2012,test,-1
331,T2D,QinJ_2012,test,-1
332,T2D,QinJ_2012,test,-1
333,T2D,QinJ_2012,test,-1
334,T2D,QinJ_2012,test,-1
335,T2D,QinJ_2012,test,-1
336,T2D,QinJ_2012,test,-1
337,T2D,QinJ_2012,test,-1
338,T2D,QinJ_2012,test,-1
339,T2D,QinJ_2012,test,-1
340,T2D,QinJ_2012,test,-1
341,T2D,LiJ_2014,train,12
342,T2D,QinJ_2012,test,-1
343,T2D,QinJ_2012,test,-1
344,T2D,QinJ_2012,test,-1
345,T2D,QinJ_2012,test,-1
346,T2D,QinJ_2012,test,-1
347,T2D,QinJ_2012,test,-1
348,T2D,QinJ_2012,test,-1
349,T2D,QinJ_2012,test,-1
350,T2D,QinJ_2012,test,-1
351,T2D,QinJ_2012,test,-1
352,T2D,QinJ_2012,test,-1
353,T2D,QinJ_2012,test,-1
354,T2D,QinJ_2012,test,-1
355,T2D,QinJ_2012,test,-1
356,T2D,QinJ_2012,test,-1
357,T2D,QinJ_2012,test,-1
358,T2D,QinJ_2012,test,-1
359,T2D,QinJ_2012,test,-1
360,T2D,QinJ_2012,test,-1
361,T2D,QinJ_2012,test,-1
362,T2D,QinJ_2012,test,-1
363,T2D,QinJ_2012,test,-1
364,T2D,QinJ_2012,test,-1
365,T2D,QinJ_2012,test,-1
366,T2D,QinJ_2012,test,-1
367,T2D,QinJ_2012,test,-1
368,T2D,QinJ_2012,test,-1
369,T2D,QinJ_2012,test,-1
370,T2D,QinJ_2012,test,-1
371,T2D,QinJ_2012,test,-1
372,T2D,QinJ_2012,test,-1
373,T2D,QinJ_2012,test,-1
374,T2D,QinJ_2012,test,-1
375,T2D,QinJ_2012,test,-1
376,T2D,QinJ_2012,test,-1
377,T2D,LiJ_2014,train,12
378,T2D,QinJ_2012,test,-1
379,T2D,QinJ_2012,test,-1
380,T2D,QinJ_2012,test,-1
381,T2D,QinJ_2012,test,-1
382,T2D,QinJ_2012,test,-1
383,T2D,QinJ_2012,test,-1
384,T2D,QinJ_2012,test,-1
385,T2D,QinJ_2012,test,-1
386,T2D,LiJ_2014,val,-1
387,T2D,QinJ_2012,test,-1
388,T2D,QinJ_2012,test,-1
389,T2D,QinJ_2012,test,-1
390,T2D,QinJ_2012,test,-1
391,T2D,QinJ_2012,test,-1
392,T2D,QinJ_2012,test,-1
393,T2D,QinJ_2012,test,-1
394,T2D,QinJ_2012,test,-1
395,T2D,QinJ_2012,test,-1
396,acute_diarrhoea,KieserS_2018,test,-1
397,acute_diarrhoea,KieserS_2018,test,-1
398,acute_diarrhoea,KieserS_2018,test,-1
399,acute_diarrhoea,KieserS_2018,test,-1
400,acute_diarrhoea,KieserS_2018,test,-1
401,acute_diarrhoea,KieserS_2018,test,-1
402,acute_diarrhoea,KieserS_2018,test,-1
403,acute_diarrhoea,KieserS_2018,test,-1
404,acute_diarrhoea,KieserS_2018,test,-1
405,acute_diarrhoea,KieserS_2018,test,-1
406,acute_diarrhoea,KieserS_2018,test,-1
407,acute_diarrhoea,KieserS_2018,test,-1
408,acute_diarrhoea,KieserS_2018,test,-1
409,acute_diarrhoea,KieserS_2018,test,-1
410,acute_diarrhoea,KieserS_2018,test,-1
411,acute_diarrhoea,KieserS_2018,test,-1
412,acute_diarrhoea,KieserS_2018,test,-1
413,acute_diarrhoea,KieserS_2018,test,-1
414,T1D,KosticAD_2015,train,11
415,T1D,KosticAD_2015,train,11
416,T1D,KosticAD_2015,train,11
417,IBD,HMP_2019_ibdmdb,test,-1
418,IBD,HMP_2019_ibdmdb,test,-1
419,IBD,HMP_2019_ibdmdb,test,-1
420,IBD,HMP_2019_ibdmdb,test,-1
421,IBD,HMP_2019_ibdmdb,test,-1
422,IBD,HMP_2019_ibdmdb,test,-1
423,IBD,HMP_2019_ibdmdb,test,-1
424,IBD,HMP_2019_ibdmdb,test,-1
425,IBD,HMP_2019_ibdmdb,test,-1
426,IBD,HMP_2019_ibdmdb,test,-1
427,ME/CFS,NagySzakalD_2017,val,-1
428,ME/CFS,NagySzakalD_2017,train,-1
429,ME/CFS,NagySzakalD_2017,train,-1
430,ME/CFS,NagySzakalD_2017,train,-1
431,ME/CFS,NagySzakalD_2017,train,-1
432,ME/CFS,NagySzakalD_2017,train,-1
433,ME/CFS,NagySzakalD_2017,val,-1
434,ME/CFS,NagySzakalD_2017,val,-1
435,ME/CFS,NagySzakalD_2017,train,-1
436,ME/CFS,NagySzakalD_2017,train,-1
437,ME/CFS,NagySzakalD_2017,train,-1
438,ME/CFS,NagySzakalD_2017,train,-1
439,ME/CFS,NagySzakalD_2017,test,-1
440,ME/CFS,NagySzakalD_2017,train,-1
441,ME/CFS,NagySzakalD_2017,train,-1
442,ME/CFS,NagySzakalD_2017,train,-1
443,ME/CFS,NagySzakalD_2017,train,-1
444,ME/CFS,NagySzakalD_2017,train,-1
445,ME/CFS,NagySzakalD_2017,train,-1
446,ME/CFS,NagySzakalD_2017,train,-1
447,ME/CFS,NagySzakalD_2017,train,-1
448,ME/CFS,NagySzakalD_2017,train,-1
449,ME/CFS,NagySzakalD_2017,train,-1
450,ME/CFS,NagySzakalD_2017,train,-1
451,ME/CFS,NagySzakalD_2017,train,-1
452,ME/CFS,NagySzakalD_2017,train,-1
453,ME/CFS,NagySzakalD_2017,train,-1
454,ME/CFS,NagySzakalD_2017,val,-1
455,ME/CFS,NagySzakalD_2017,train,-1
456,ME/CFS,NagySzakalD_2017,test,-1
457,ME/CFS,NagySzakalD_2017,test,-1
458,ME/CFS,NagySzakalD_2017,train,-1
459,ME/CFS,NagySzakalD_2017,val,-1
460,ME/CFS,NagySzakalD_2017,train,-1
461,ME/CFS,NagySzakalD_2017,test,-1
462,ME/CFS,NagySzakalD_2017,train,-1
463,ME/CFS,NagySzakalD_2017,train,-1
464,ME/CFS,NagySzakalD_2017,val,-1
465,ME/CFS,NagySzakalD_2017,val,-1
466,ME/CFS,NagySzakalD_2017,train,-1
467,ME/CFS,NagySzakalD_2017,train,-1
468,ME/CFS,NagySzakalD_2017,test,-1
469,ME/CFS,NagySzakalD_2017,train,-1
470,ME/CFS,NagySzakalD_2017,train,-1
471,ME/CFS,NagySzakalD_2017,val,-1
472,ME/CFS,NagySzakalD_2017,test,-1
473,ME/CFS,NagySzakalD_2017,train,-1
474,ME/CFS,NagySzakalD_2017,train,-1
475,ME/CFS,NagySzakalD_2017,test,-1
476,ME/CFS,NagySzakalD_2017,test,-1
477,schizophrenia,Castro-NallarE_2015,test,-1
478,schizophrenia,Castro-NallarE_2015,test,-1
479,schizophrenia,Castro-NallarE_2015,test,-1
480,schizophrenia,Castro-NallarE_2015,test,-1
481,schizophrenia,Castro-NallarE_2015,test,-1
482,schizophrenia,Castro-NallarE_2015,test,-1
483,schizophrenia,Castro-NallarE_2015,test,-1
484,schizophrenia,Castro-NallarE_2015,test,-1
485,schizophrenia,Castro-NallarE_2015,test,-1
486,schizophrenia,Castro-NallarE_2015,test,-1
487,schizophrenia,Castro-NallarE_2015,test,-1
488,schizophrenia,Castro-NallarE_2015,test,-1
489,metabolic_syndrome,LiSS_2016,train,-1
490,metabolic_syndrome,LiSS_2016,val,-1
491,metabolic_syndrome,LiSS_2016,train,-1
492,metabolic_syndrome,LiSS_2016,train,-1
493,metabolic_syndrome,LiSS_2016,test,-1
494,metabolic_syndrome,LiSS_2016,train,-1
495,metabolic_syndrome,LiSS_2016,train,-1
496,metabolic_syndrome,LiSS_2016,test,-1
497,metabolic_syndrome,LiSS_2016,val,-1
498,metabolic_syndrome,LiSS_2016,train,-1
499,adenoma,ZellerG_2014,val,-1
500,adenoma,ZellerG_2014,train,25
501,adenoma,ZellerG_2014,val,-1
502,adenoma,ZellerG_2014,train,25
503,CRC,ZellerG_2014,train,25
504,adenoma,ZellerG_2014,train,25
505,adenoma,ZellerG_2014,train,25
506,CRC,ZellerG_2014,train,25
507,adenoma,ZellerG_2014,train,25
508,adenoma,ZellerG_2014,val,-1
509,CRC,ZellerG_2014,train,25
510,CRC,ZellerG_2014,train,25
511,CRC,ZellerG_2014,train,25
512,adenoma,ZellerG_2014,train,25
513,adenoma,ZellerG_2014,train,25
514,adenoma,ZellerG_2014,train,25
515,adenoma,ZellerG_2014,train,25
516,CRC,ZellerG_2014,train,25
517,adenoma,ZellerG_2014,train,25
518,adenoma,ZellerG_2014,train,25
519,adenoma,ZellerG_2014,train,25
520,CRC,ZellerG_2014,train,25
521,CRC,ZellerG_2014,train,25
522,CRC,ZellerG_2014,train,25
523,adenoma,ZellerG_2014,train,25
524,CRC,ZellerG_2014,train,25
525,CRC,ZellerG_2014,train,25
526,CRC,ZellerG_2014,val,-1
527,CRC,ZellerG_2014,val,-1
528,adenoma,ZellerG_2014,val,-1
529,CRC,ZellerG_2014,train,25
530,CRC,ZellerG_2014,val,-1
531,CRC,ZellerG_2014,train,25
532,adenoma,ZellerG_2014,train,25
533,CRC,ZellerG_2014,train,25
534,CRC,ZellerG_2014,train,25
535,adenoma,ZellerG_2014,train,25
536,CRC,ZellerG_2014,train,25
537,adenoma,ZellerG_2014,train,25
538,CRC,ZellerG_2014,train,25
539,CRC,ZellerG_2014,train,25
540,CRC,ZellerG_2014,train,25
541,adenoma,ZellerG_2014,train,25
542,adenoma,ZellerG_2014,train,25
543,adenoma,ZellerG_2014,train,25
544,adenoma,ZellerG_2014,train,25
545,adenoma,ZellerG_2014,train,25
546,CRC,ZellerG_2014,train,25
547,CRC,ZellerG_2014,val,-1
548,CRC,ZellerG_2014,train,25
549,CRC,ZellerG_2014,val,-1
550,adenoma,ZellerG_2014,train,25
551,adenoma,ZellerG_2014,train,25
552,adenoma,ZellerG_2014,train,25
553,adenoma,ZellerG_2014,train,25
554,CRC,ZellerG_2014,train,25
555,CRC,ZellerG_2014,train,25
556,adenoma,ZellerG_2014,train,25
557,adenoma,ZellerG_2014,train,25
558,CRC,ZellerG_2014,train,25
559,adenoma,ZellerG_2014,train,25
560,CRC,ZellerG_2014,train,25
561,adenoma,ZellerG_2014,train,25
562,CRC,ZellerG_2014,train,25
563,CRC,ZellerG_2014,train,25
564,adenoma,ZellerG_2014,train,25
565,adenoma,ZellerG_2014,train,25
566,CRC,ZellerG_2014,train,25
567,adenoma,ZellerG_2014,train,25
568,CRC,ZellerG_2014,train,25
569,CRC,ZellerG_2014,train,25
570,CRC,ZellerG_2014,train,25
571,CRC,ZellerG_2014,train,25
572,CRC,ZellerG_2014,train,25
573,CRC,ZellerG_2014,val,-1
574,CRC,ZellerG_2014,train,25
575,CRC,ZellerG_2014,train,25
576,CRC,ZellerG_2014,train,25
577,CRC,ZellerG_2014,val,-1
578,adenoma,ZellerG_2014,train,25
579,adenoma,ZellerG_2014,train,25
580,CRC,ZellerG_2014,train,25
581,CRC,ZellerG_2014,train,25
582,CRC,ZellerG_2014,train,25
583,adenoma,ZellerG_2014,train,25
584,CRC,ZellerG_2014,train,25
585,CRC,ZellerG_2014,train,25
586,CRC,ZellerG_2014,val,-1
587,adenoma,ZellerG_2014,train,25
588,CRC,ZellerG_2014,train,25
589,CRC,ZellerG_2014,train,25
590,adenoma,ZellerG_2014,train,25
591,CRC,ZellerG_2014,train,25
592,adenoma,ZellerG_2014,val,-1
593,CRC,ZellerG_2014,train,25
594,adenoma,ThomasAM_2018a,train,18
595,adenoma,ThomasAM_2018a,train,18
596,adenoma,ThomasAM_2018a,train,18
597,IBD,IaniroG_2022,train,8
598,CRC,GuptaA_2019,val,-1
599,CRC,GuptaA_2019,train,4
600,CRC,GuptaA_2019,train,4
601,CRC,GuptaA_2019,train,4
602,CRC,GuptaA_2019,train,4
603,CRC,GuptaA_2019,train,4
604,CRC,GuptaA_2019,train,4
605,CRC,GuptaA_2019,val,-1
606,CRC,GuptaA_2019,train,4
607,CRC,GuptaA_2019,train,4
608,CRC,GuptaA_2019,train,4
609,CRC,GuptaA_2019,train,4
610,CRC,GuptaA_2019,train,4
611,CRC,GuptaA_2019,train,4
612,CRC,GuptaA_2019,train,4
613,CRC,GuptaA_2019,train,4
614,CRC,GuptaA_2019,val,-1
615,CRC,GuptaA_2019,val,-1
616,CRC,GuptaA_2019,train,4
617,CRC,GuptaA_2019,train,4
618,CRC,GuptaA_2019,train,4
619,CRC,GuptaA_2019,val,-1
620,CRC,GuptaA_2019,train,4
621,CRC,GuptaA_2019,train,4
622,CRC,GuptaA_2019,train,4
623,CRC,GuptaA_2019,train,4
624,CRC,GuptaA_2019,train,4
625,CRC,GuptaA_2019,train,4
626,CRC,GuptaA_2019,train,4
627,CRC,GuptaA_2019,train,4
628,IBD,HMP_2019_ibdmdb,test,-1
629,IBD,HMP_2019_ibdmdb,test,-1
630,IBD,HMP_2019_ibdmdb,test,-1
631,IBD,HMP_2019_ibdmdb,test,-1
632,IBD,HMP_2019_ibdmdb,test,-1
633,IBD,HMP_2019_ibdmdb,test,-1
634,IBD,HMP_2019_ibdmdb,test,-1
635,IBD,HMP_2019_ibdmdb,test,-1
636,IBD,HMP_2019_ibdmdb,test,-1
637,IBD,HMP_2019_ibdmdb,test,-1
638,IBD,HMP_2019_ibdmdb,test,-1
639,IBD,HMP_2019_ibdmdb,test,-1
640,IBD,HMP_2019_ibdmdb,test,-1
641,IBD,HMP_2019_ibdmdb,test,-1
642,IBD,HMP_2019_ibdmdb,test,-1
643,IBD,HMP_2019_ibdmdb,test,-1
644,IBD,HMP_2019_ibdmdb,test,-1
645,IBD,HMP_2019_ibdmdb,test,-1
646,IBD,HMP_2019_ibdmdb,test,-1
647,IBD,HMP_2019_ibdmdb,test,-1
648,IBD,HMP_2019_ibdmdb,test,-1
649,IBD,HMP_2019_ibdmdb,test,-1
650,IBD,HMP_2019_ibdmdb,test,-1
651,IBD,HMP_2019_ibdmdb,test,-1
652,CRC,ThomasAM_2019_c,val,-1
653,CRC,ThomasAM_2019_c,train,20
654,CRC,ThomasAM_2019_c,train,20
655,CRC,ThomasAM_2019_c,train,20
656,CRC,ThomasAM_2019_c,train,20
657,CRC,ThomasAM_2019_c,train,20
658,CRC,ThomasAM_2019_c,val,-1
659,CRC,ThomasAM_2019_c,train,20
660,CRC,ThomasAM_2019_c,train,20
661,CRC,ThomasAM_2019_c,train,20
662,CRC,ThomasAM_2019_c,val,-1
663,CRC,ThomasAM_2019_c,train,20
664,CRC,ThomasAM_2019_c,train,20
